Amount requested,Day,Month,Year
1125641,15,3,2009
1477737,16,3,2009
2757926,17,3,2009
1645676,18,3,2009
1697342,19,3,2009
1703895,20,3,2009
1390357,21,3,2009
1642169,22,3,2009
1835350,23,3,2009
1928748,24,3,2009
1849347,25,3,2009
2187600,26,3,2009
1532660,27,3,2009
1432559,28,3,2009
1331660,29,3,2009
2397416,30,3,2009
1843970,31,3,2009
1660966,1,4,2009
1493219,2,4,2009
1472976,3,4,2009
925007,4,4,2009
1194954,5,4,2009
1767662,6,4,2009
1991378,7,4,2009
1709193,8,4,2009
2001648,9,4,2009
1849085,10,4,2009
1252021,11,4,2009
1099303,12,4,2009
1993632,13,4,2009
1729922,14,4,2009
2383063,15,4,2009
3057800,16,4,2009
1976500,17,4,2009
1551675,18,4,2009
1440350,19,4,2009
3209925,20,4,2009
2942250,21,4,2009
2050038,22,4,2009
2732168,23,4,2009
1856275,24,4,2009
1187400,25,4,2009
1322550,26,4,2009
3118540,27,4,2009
2740582,28,4,2009
2260300,29,4,2009
2351440,30,4,2009
1535449,1,5,2009
1153125,2,5,2009
1168141,3,5,2009
2206335,4,5,2009
3177700,5,5,2009
2730925,6,5,2009
2007575,7,5,2009
1837500,8,5,2009
1416450,9,5,2009
1379900,10,5,2009
2561362,11,5,2009
2906625,12,5,2009
2130705,13,5,2009
2111085,14,5,2009
1846025,15,5,2009
1147729,16,5,2009
1093250,17,5,2009
2240750,18,5,2009
3166400,19,5,2009
2875450,20,5,2009
2570650,21,5,2009
1913350,22,5,2009
1593350,23,5,2009
1350125,24,5,2009
1862599,25,5,2009
3180138,26,5,2009
3220425,27,5,2009
3091925,28,5,2009
2595975,29,5,2009
1706795,30,5,2009
1498600,31,5,2009
2826250,1,6,2009
3229152,2,6,2009
3121150,3,6,2009
2692728,4,6,2009
2347280,5,6,2009
1639275,6,6,2009
1510850,7,6,2009
3282034,8,6,2009
3025285,9,6,2009
2937500,10,6,2009
2488875,11,6,2009
1716700,12,6,2009
1510750,13,6,2009
1548575,14,6,2009
2979306,15,6,2009
2907905,16,6,2009
2938525,17,6,2009
2935075,18,6,2009
2416725,19,6,2009
1664301,20,6,2009
1471625,21,6,2009
2919925,22,6,2009
2555000,23,6,2009
2459075,24,6,2009
2231130,25,6,2009
1580145,26,6,2009
1187625,27,6,2009
1428050,28,6,2009
2832000,29,6,2009
2676120,30,6,2009
2760950,1,7,2009
2620870,2,7,2009
1459705,3,7,2009
937200,4,7,2009
1108700,5,7,2009
2519050,6,7,2009
2563600,7,7,2009
3248050,8,7,2009
2266850,9,7,2009
2039170,10,7,2009
1175200,11,7,2009
1073225,12,7,2009
2004840,13,7,2009
1701300,14,7,2009
1928975,15,7,2009
1859675,16,7,2009
1299300,17,7,2009
980400,18,7,2009
1094725,19,7,2009
2021525,20,7,2009
2107700,21,7,2009
1736725,22,7,2009
1718950,23,7,2009
1191851,24,7,2009
759000,25,7,2009
718900,26,7,2009
3206750,27,7,2009
2077350,28,7,2009
1736709,29,7,2009
1494150,30,7,2009
1493630,31,7,2009
915150,1,8,2009
969300,2,8,2009
1555850,3,8,2009
1451525,4,8,2009
1522500,5,8,2009
1370305,6,8,2009
1040210,7,8,2009
729350,8,8,2009
815895,9,8,2009
1606751,10,8,2009
1487425,11,8,2009
1199623,12,8,2009
1410300,13,8,2009
1436900,14,8,2009
781400,15,8,2009
815550,16,8,2009
1607200,17,8,2009
1411500,18,8,2009
1192200,19,8,2009
1368950,20,8,2009
1068275,21,8,2009
975350,22,8,2009
771326,23,8,2009
1846900,24,8,2009
2296998,25,8,2009
2152450,26,8,2009
1454439,27,8,2009
1263125,28,8,2009
805675,29,8,2009
965650,30,8,2009
1450100,31,8,2009
1252975,1,9,2009
1287230,2,9,2009
1323687,3,9,2009
1158800,4,9,2009
767675,5,9,2009
760200,6,9,2009
944150,7,9,2009
1535125,8,9,2009
1659625,9,9,2009
1155525,10,9,2009
1575525,11,9,2009
1543720,12,9,2009
1536100,13,9,2009
4410817,14,9,2009
3535675,15,9,2009
2557864,16,9,2009
1958350,17,9,2009
1666303,18,9,2009
1076795,19,9,2009
1420400,20,9,2009
2013494,21,9,2009
2238385,22,9,2009
2439450,23,9,2009
2033750,24,9,2009
1937000,25,9,2009
1025850,26,9,2009
1283600,27,9,2009
2730400,28,9,2009
2206895,29,9,2009
1895847,30,9,2009
2439525,1,10,2009
1798512,2,10,2009
1229853,3,10,2009
1431225,4,10,2009
2091225,5,10,2009
2190275,6,10,2009
2023986,7,10,2009
1760988,8,10,2009
2008022,9,10,2009
1317669,10,10,2009
1445026,11,10,2009
2246459,12,10,2009
1789815,13,10,2009
1983275,14,10,2009
1681050,15,10,2009
1655200,16,10,2009
984225,17,10,2009
910300,18,10,2009
2069646,19,10,2009
1776000,20,10,2009
1454300,21,10,2009
1698525,22,10,2009
1438830,23,10,2009
1117700,24,10,2009
1031600,25,10,2009
1663400,26,10,2009
1903016,27,10,2009
1829075,28,10,2009
1263550,29,10,2009
1402150,30,10,2009
1001524,31,10,2009
1135450,1,11,2009
2085384,2,11,2009
2284950,3,11,2009
1775770,4,11,2009
1579000,5,11,2009
1484927,6,11,2009
1074000,7,11,2009
1613303,8,11,2009
2273200,9,11,2009
2425397,10,11,2009
2135155,11,11,2009
2050072,12,11,2009
1469259,13,11,2009
1155800,14,11,2009
968350,15,11,2009
1817925,16,11,2009
2769175,17,11,2009
2083352,18,11,2009
1615478,19,11,2009
1289400,20,11,2009
895000,21,11,2009
1087803,22,11,2009
1706850,23,11,2009
1834250,24,11,2009
2168300,25,11,2009
588200,26,11,2009
1414275,27,11,2009
1200000,28,11,2009
1031250,29,11,2009
2186399,30,11,2009
2089375,1,12,2009
2540566,2,12,2009
2488175,3,12,2009
1737475,4,12,2009
1023550,5,12,2009
1106660,6,12,2009
2360835,7,12,2009
2063379,8,12,2009
2051054,9,12,2009
1505455,10,12,2009
1656450,11,12,2009
818024,12,12,2009
1057600,13,12,2009
2119903,14,12,2009
1743000,15,12,2009
1455500,16,12,2009
1574005,17,12,2009
1728775,18,12,2009
932300,19,12,2009
809000,20,12,2009
1564133,21,12,2009
1473509,22,12,2009
1163525,23,12,2009
883222,24,12,2009
465764,25,12,2009
1121550,26,12,2009
817399,27,12,2009
1985587,28,12,2009
1804709,29,12,2009
1666700,30,12,2009
1000500,31,12,2009
688400,1,1,2010
1202065,2,1,2010
863721,3,1,2010
2040769,4,1,2010
2095980,5,1,2010
2548958,6,1,2010
2327192,7,1,2010
1970700,8,1,2010
1252350,9,1,2010
1537469,10,1,2010
2148250,11,1,2010
2396200,12,1,2010
2123800,13,1,2010
2340250,14,1,2010
2741725,15,1,2010
1552700,16,1,2010
1709250,17,1,2010
2346526,18,1,2010
2585095,19,1,2010
2821775,20,1,2010
2457095,21,1,2010
1868980,22,1,2010
1476474,23,1,2010
1244620,24,1,2010
3255788,25,1,2010
3502981,26,1,2010
2717075,27,1,2010
2080560,28,1,2010
1654575,29,1,2010
1653545,30,1,2010
1878075,31,1,2010
2765466,1,2,2010
3468405,2,2,2010
3245324,3,2,2010
1980734,4,2,2010
2083429,5,2,2010
1926519,6,2,2010
1269571,7,2,2010
2930150,8,2,2010
2809292,9,2,2010
3044820,10,2,2010
2825045,11,2,2010
1760851,12,2,2010
1271376,13,2,2010
1197625,14,2,2010
2139010,15,2,2010
2449100,16,2,2010
3082975,17,2,2010
2987617,18,2,2010
2119824,19,2,2010
1711675,20,2,2010
1407500,21,2,2010
2530495,22,2,2010
2510287,23,2,2010
2581198,24,2,2010
2492750,25,2,2010
1901300,26,2,2010
1196300,27,2,2010
1515225,28,2,2010
2549350,1,3,2010
3128500,2,3,2010
2388075,3,3,2010
2830300,4,3,2010
6377800,5,3,2010
1995300,6,3,2010
2250675,7,3,2010
4422950,8,3,2010
3409050,9,3,2010
2907075,10,3,2010
2872800,11,3,2010
2212000,12,3,2010
1791225,13,3,2010
1442025,14,3,2010
4087600,15,3,2010
2818650,16,3,2010
2958925,17,3,2010
2926850,18,3,2010
2366100,19,3,2010
1673575,20,3,2010
1455475,21,3,2010
2644700,22,3,2010
2930250,23,3,2010
2468100,24,3,2010
2582400,25,3,2010
2225750,26,3,2010
1521225,27,3,2010
1574775,28,3,2010
2010900,29,3,2010
2023025,30,3,2010
2334775,31,3,2010
2090025,1,4,2010
2202650,2,4,2010
1097550,3,4,2010
997400,4,4,2010
2643400,5,4,2010
2664050,6,4,2010
4147900,7,4,2010
2596275,8,4,2010
1996350,9,4,2010
2145550,10,4,2010
2566925,11,4,2010
4380325,12,4,2010
3312800,13,4,2010
3204425,14,4,2010
2824300,15,4,2010
2788125,16,4,2010
1324950,17,4,2010
1241600,18,4,2010
2960650,19,4,2010
3000000,20,4,2010
3022500,21,4,2010
3205250,22,4,2010
2406800,23,4,2010
2125325,24,4,2010
1954750,25,4,2010
3990950,26,4,2010
3053650,27,4,2010
3162900,28,4,2010
3040900,29,4,2010
2476900,30,4,2010
2110900,1,5,2010
2910275,2,5,2010
3624575,3,5,2010
3964275,4,5,2010
3916200,5,5,2010
3647025,6,5,2010
3445075,7,5,2010
2381125,8,5,2010
1916525,9,5,2010
6389450,10,5,2010
8988000,11,5,2010
6701075,12,5,2010
4831100,13,5,2010
4067075,14,5,2010
4011375,15,5,2010
2483175,16,5,2010
4751775,17,5,2010
5116550,18,5,2010
2818625,19,5,2010
2840925,20,5,2010
2422875,21,5,2010
1719525,22,5,2010
1838625,23,5,2010
3645975,24,5,2010
2860850,25,5,2010
2879475,26,5,2010
2692525,27,5,2010
1902750,28,5,2010
1432100,29,5,2010
1255000,30,5,2010
2450825,31,5,2010
4005350,1,6,2010
4327575,2,6,2010
4441575,3,6,2010
3810275,4,6,2010
2387900,5,6,2010
2610450,6,6,2010
4082600,7,6,2010
4185100,8,6,2010
4044200,9,6,2010
3363350,10,6,2010
3128875,11,6,2010
2587750,12,6,2010
2824800,13,6,2010
4190200,14,6,2010
3945850,15,6,2010
4591975,16,6,2010
3924625,17,6,2010
3088050,18,6,2010
2117250,19,6,2010
1821825,20,6,2010
4454975,21,6,2010
4428150,22,6,2010
4501800,23,6,2010
4589250,24,6,2010
3844475,25,6,2010
2684625,26,6,2010
2401325,27,6,2010
4265825,28,6,2010
4308950,29,6,2010
4277525,30,6,2010
4454625,1,7,2010
3227225,2,7,2010
1630850,3,7,2010
1769875,4,7,2010
3336775,5,7,2010
4626075,6,7,2010
4270550,7,7,2010
4998425,8,7,2010
5460850,9,7,2010
2987125,10,7,2010
2139550,11,7,2010
4331100,12,7,2010
4919300,13,7,2010
4446525,14,7,2010
4060475,15,7,2010
3386025,16,7,2010
2976925,17,7,2010
2218800,18,7,2010
4714850,19,7,2010
5071025,20,7,2010
4524750,21,7,2010
4440250,22,7,2010
4549025,23,7,2010
3014800,24,7,2010
2667875,25,7,2010
5157475,26,7,2010
4836400,27,7,2010
4142500,28,7,2010
3746325,29,7,2010
3162325,30,7,2010
2449350,31,7,2010
2401750,1,8,2010
4668575,2,8,2010
3950900,3,8,2010
3849600,4,8,2010
4132675,5,8,2010
3803650,6,8,2010
2208975,7,8,2010
2189625,8,8,2010
4068600,9,8,2010
4388800,10,8,2010
4562950,11,8,2010
3886900,12,8,2010
3150325,13,8,2010
2681775,14,8,2010
2739175,15,8,2010
5266675,16,8,2010
5125525,17,8,2010
5015950,18,8,2010
4073850,19,8,2010
3594725,20,8,2010
2629250,21,8,2010
2824300,22,8,2010
4639700,23,8,2010
5196200,24,8,2010
4831800,25,8,2010
4477650,26,8,2010
3076500,27,8,2010
2556625,28,8,2010
2635525,29,8,2010
4057975,30,8,2010
4150300,31,8,2010
4691500,1,9,2010
3837925,2,9,2010
3922725,3,9,2010
2372025,4,9,2010
2769125,5,9,2010
3643975,6,9,2010
4819150,7,9,2010
4714375,8,9,2010
4463050,9,9,2010
5497850,10,9,2010
3013275,11,9,2010
2871600,12,9,2010
4724150,13,9,2010
4914250,14,9,2010
4807350,15,9,2010
4777525,16,9,2010
3559025,17,9,2010
2468100,18,9,2010
2836550,19,9,2010
4735525,20,9,2010
3952300,21,9,2010
4539925,22,9,2010
3917500,23,9,2010
3808200,24,9,2010
3155925,25,9,2010
3071525,26,9,2010
5754150,27,9,2010
6492825,28,9,2010
5613825,29,9,2010
5183475,30,9,2010
4934375,1,10,2010
3558875,2,10,2010
3482700,3,10,2010
4760550,4,10,2010
5604300,5,10,2010
4524875,6,10,2010
4223175,7,10,2010
4241225,8,10,2010
2819000,9,10,2010
3129325,10,10,2010
4833075,11,10,2010
4613775,12,10,2010
4858700,13,10,2010
4762225,14,10,2010
4020625,15,10,2010
2541350,16,10,2010
2916325,17,10,2010
4607750,18,10,2010
6313450,19,10,2010
6427075,20,10,2010
4898575,21,10,2010
4033775,22,10,2010
3106575,23,10,2010
2577375,24,10,2010
5192725,25,10,2010
3523275,26,10,2010
3364975,27,10,2010
3431325,28,10,2010
3364875,29,10,2010
2571625,30,10,2010
2777775,31,10,2010
4226775,1,11,2010
4229100,2,11,2010
4944100,3,11,2010
5228900,4,11,2010
4071150,5,11,2010
3413025,6,11,2010
3270850,7,11,2010
5067975,8,11,2010
5195225,9,11,2010
5441925,10,11,2010
4947825,11,11,2010
4133000,12,11,2010
3218525,13,11,2010
3020125,14,11,2010
5902350,15,11,2010
6477450,16,11,2010
5799900,17,11,2010
5233750,18,11,2010
4452675,19,11,2010
3159675,20,11,2010
3225650,21,11,2010
4644425,22,11,2010
4425100,23,11,2010
2985725,24,11,2010
1813875,25,11,2010
3226550,26,11,2010
3367625,27,11,2010
3804275,28,11,2010
5138775,29,11,2010
6001400,30,11,2010
4962800,1,12,2010
5056050,2,12,2010
4573775,3,12,2010
3660750,4,12,2010
3612175,5,12,2010
5861600,6,12,2010
5279325,7,12,2010
5072525,8,12,2010
4081325,9,12,2010
4230750,10,12,2010
3559350,11,12,2010
3092100,12,12,2010
4416000,13,12,2010
4694775,14,12,2010
4569800,15,12,2010
4091225,16,12,2010
3133725,17,12,2010
3004500,18,12,2010
3085400,19,12,2010
4147775,20,12,2010
4362125,21,12,2010
3761275,22,12,2010
3821975,23,12,2010
1982150,24,12,2010
1910325,25,12,2010
2710575,26,12,2010
4850075,27,12,2010
4933025,28,12,2010
5907225,29,12,2010
5036125,30,12,2010
5787200,31,12,2010
7536725,1,1,2011
4393050,2,1,2011
6535900,3,1,2011
7073575,4,1,2011
6783850,5,1,2011
7260250,6,1,2011
